compliance_label,compliance_score,domain,error,language_detected,q_1.1_answer,q_1.1_evidence,q_1.2_answer,q_1.2_evidence,q_1.3_answer,q_1.3_evidence,q_2.1_answer,q_2.1_evidence,q_2.2_answer,q_2.2_evidence,q_2.3_answer,q_2.3_evidence,q_2.4_answer,q_2.4_evidence,q_3.2_answer,q_3.2_evidence,q_4.1_answer,q_4.1_evidence,q_4.2_answer,q_4.2_evidence,q_5.1_answer,q_5.1_evidence,q_5.2_answer,q_5.2_evidence,q_5.3_answer,q_5.3_evidence,q_5.4_answer,q_5.4_evidence,q_5.5_answer,q_5.5_evidence,q_5.6_answer,q_5.6_evidence,q_5.7_answer,q_5.7_evidence,q_5.8_answer,q_5.8_evidence,q_6.1_answer,q_6.1_evidence,q_7.1_answer,q_7.1_evidence,q_7.2_answer,q_7.2_evidence,q_7.3_answer,q_7.3_evidence,q_8.1_answer,q_8.1_evidence,q_8.2_answer,q_8.2_evidence,q_9.1_answer,q_9.1_evidence,status,summary,translation_performed
PARTIALLY_COMPLIANT,70,eurocamp.de,,English,YES,The policy identifies the data controller as the organization responsible for the data.,YES,"Contact details of the controller are provided, including address and email.",NO,There is no mention of a Data Protection Officer or their contact details.,YES,The policy clearly states the purposes for which personal data is processed.,PARTIAL,"The legal basis for some processing purposes is specified, but not for all.",NO,There is no description of legitimate interests if they are used.,YES,The policy explains how users can give and withdraw consent.,PARTIAL,"The retention period is mentioned, but lacks specific criteria for all data types.",YES,"The policy identifies recipients of personal data, including third-party service providers.",NO,There is no mention of international data transfers or safeguards.,YES,Users are informed of their right to access their personal data.,YES,The policy informs users of their right to rectify inaccurate data.,YES,Users are informed of their right to erasure.,YES,The policy informs users of their right to restrict processing.,YES,Users are informed of their right to data portability.,YES,The policy informs users of their right to object to processing.,YES,Users are informed of their right to withdraw consent at any time.,YES,The policy informs users of their right to lodge a complaint with a supervisory authority.,NO,There is no mention of automated decision-making or profiling.,YES,The policy mentions the use of cookies and similar tracking technologies.,PARTIAL,"It explains how users can manage cookies, but lacks detailed instructions.",NO,There is no mention of whether third-party cookies are used.,YES,The policy is presented in clear and intelligible language.,YES,"The policy is easily accessible, linked in the footer.",NO,There is no information about collecting data from third parties.,success,"The privacy policy meets several GDPR requirements but lacks completeness in areas such as DPO contact details, legitimate interests, international transfers, and third-party data sources.",False
PARTIALLY_COMPLIANT,85,eurocert.pl,,Polish,YES,The policy identifies EuroCert Spółka z ograniczoną odpowiedzialnością as the data controller.,YES,"Contact details including address and email are provided: biuro@eurocert.pl, 474 Puławska Street, Warsaw.",YES,The policy mentions a Data Protection Supervisor and provides the email iod@eurocert.pl for contact.,YES,"The policy clearly states the purposes for processing personal data, such as performance of a service and marketing.",YES,"It specifies legal bases for processing, including consent and legitimate interest.",YES,"The policy describes legitimate interests, such as marketing of the Administrator’s own products.",YES,It explains how users can withdraw consent at any time via email.,YES,"The policy specifies retention periods for various purposes, such as 5 years for tax obligations.",YES,"It identifies recipients of personal data, including partners and service providers.",NO,The policy states that personal data is stored only in the EEA but does not mention any transfers outside.,YES,Users are informed of their right to access their personal data stored by the Administrator.,YES,The policy informs users of their right to request rectification of inaccurate data.,YES,It informs users of their right to request deletion of their personal data.,YES,Users are informed of their right to restrict processing under certain conditions.,YES,The policy informs users of their right to data portability.,YES,"It informs users of their right to object to processing, especially for direct marketing.",YES,Users are informed they can withdraw consent at any time.,YES,The policy informs users of their right to lodge a complaint with a supervisory authority.,NO,The policy does not mention any automated decision-making or profiling.,YES,The policy mentions the use of cookies and their purpose.,YES,It explains how users can manage or disable cookies in their web browser.,YES,The policy states that cookies may also be used by advertisers and partners.,YES,The policy is presented in clear and intelligible language.,YES,The policy is easily accessible via a link on the website.,NO,The policy does not mention data collected from third parties.,success,"The privacy policy is mostly compliant with GDPR requirements, but lacks information on international data transfers and third-party data sources.",True
PARTIALLY_COMPLIANT,85,evoke.ie,,English,YES,The policy identifies Associated Newspapers Ltd as the data controller.,YES,"Contact details are provided, including email and physical addresses.",PARTIAL,The policy mentions a Data Protection Officer but does not provide specific contact details.,YES,The policy clearly states the purposes for which personal data is processed.,YES,"It specifies legal bases for processing, including consent and legitimate interests.",YES,"The policy describes legitimate interests, such as supporting a free press.",YES,It explains how users can give and withdraw consent.,PARTIAL,The policy mentions data retention but lacks specific retention periods.,YES,"It identifies recipients of personal data, including third-party service providers.",YES,The policy states that data may be transferred outside the EU/EEA and describes safeguards.,YES,It informs users of their right to access their personal data.,YES,The policy informs users of their right to rectify inaccurate data.,YES,It informs users of their right to erasure.,YES,The policy informs users of their right to restrict processing.,YES,It informs users of their right to data portability.,YES,The policy informs users of their right to object to processing.,YES,It informs users of their right to withdraw consent at any time.,YES,The policy informs users of their right to lodge a complaint with a supervisory authority.,PARTIAL,The policy mentions automated decision-making but lacks detailed information about logic and consequences.,YES,The policy mentions the use of cookies and similar tracking technologies.,YES,It explains how users can manage or disable cookies.,YES,The policy states that third-party cookies are used.,YES,The policy is presented in clear and intelligible language.,YES,The policy is easily accessible via links in the footer.,PARTIAL,The policy mentions collecting data from third parties but lacks detailed transparency information.,success,"The privacy policy is mostly compliant with GDPR requirements, but there are areas for improvement, particularly regarding the clarity of DPO contact details and data retention specifics.",False
NON_COMPLIANT,25,evolutio.es,,Spanish,NO,The policy does not identify the data controller.,NO,Contact details of the controller are not provided.,NO,There is no mention of a Data Protection Officer.,PARTIAL,The policy mentions using data for personalized advertising but lacks detail on all purposes.,PARTIAL,Legal basis is implied but not explicitly stated for each processing purpose.,NO,There is no description of legitimate interest.,NO,The policy does not explain how users can give and withdraw consent.,NO,There is no specification of data retention periods.,PARTIAL,The policy mentions third-party cookies but does not specify all recipients.,NO,There is no mention of international data transfers.,NO,Users are not informed of their right to access personal data.,NO,There is no mention of the right to rectification.,NO,The right to erasure is not addressed.,NO,The right to restrict processing is not mentioned.,NO,The right to data portability is not included.,NO,The right to object to processing is not stated.,NO,The right to withdraw consent is not mentioned.,NO,There is no information on lodging a complaint with a supervisory authority.,NO,There is no mention of automated decision-making.,YES,The policy mentions the use of cookies for personalized advertising.,NO,There is no explanation on how to manage or disable cookies.,YES,The policy states that third-party cookies are used.,PARTIAL,The language is somewhat clear but could be more straightforward.,YES,The policy is accessible through the website.,NO,There is no mention of data collected from third parties.,success,"The privacy policy lacks essential information required by GDPR, including identification of the data controller, contact details, rights of users, and retention periods, resulting in a low compliance score.",True
PARTIALLY_COMPLIANT,70,evolutionadv.it,,Italian,YES,The owner of the processing of personal data is Evolution ADV s.r.l.,YES,The policy provides the registered office address and email.,NO,There is no mention of a Data Protection Officer (DPO) or their contact details.,YES,User data are processed in order to respond to requests expressly made by users.,PARTIAL,It specifies some legal bases but does not detail them for each processing purpose.,NO,There is no description of any legitimate interest used.,PARTIAL,It mentions that users can ask for clarification on consent but does not explain how to withdraw it.,YES,Data are processed and kept for the time required by the purposes for which they were collected.,YES,The personal data provided may be disclosed to third parties only if necessary.,NO,There is no mention of international data transfers.,YES,Users may exercise their rights to request confirmation of the existence of their personal data.,YES,It informs users of their right to rectification of inaccurate data.,YES,It informs users of their right to erasure of personal data.,YES,It informs users of their right to restrict processing.,YES,It informs users of their right to data portability.,YES,It informs users of their right to object to processing.,YES,It informs users of their right to withdraw consent at any time.,YES,It informs users of their right to lodge a complaint with a supervisory authority.,NO,There is no mention of automated decision-making or profiling.,NO,There is no mention of the use of cookies or similar tracking technologies.,NO,There is no explanation on how users can manage or disable cookies.,NO,There is no mention of third-party cookies.,YES,The policy is presented in clear and intelligible language.,YES,The policy is easily accessible on the website.,NO,There is no mention of collecting data from third parties.,success,"The privacy policy covers many essential aspects of GDPR compliance but lacks details on DPO contact, legitimate interests, international data transfers, and cookie usage, leading to a partially compliant status.",True
NON_COMPLIANT,0,evomag.ro,,Romanian,NO,The policy does not identify the data controller.,NO,There are no contact details provided for the controller.,NO,No Data Protection Officer (DPO) contact details are mentioned.,NO,The purposes for processing personal data are not clearly stated.,NO,There is no specification of the legal basis for processing.,NO,No legitimate interest is described.,NO,There is no explanation on how users can give or withdraw consent.,NO,The data retention period is not specified.,NO,Recipients of personal data are not identified.,NO,There is no mention of international data transfers.,NO,Users are not informed of their right to access personal data.,NO,There is no information on the right to rectification.,NO,The right to erasure is not mentioned.,NO,There is no information on the right to restrict processing.,NO,The right to data portability is not addressed.,NO,Users are not informed of their right to object to processing.,NO,There is no information on the right to withdraw consent.,NO,Users are not informed of their right to lodge a complaint.,NO,There is no mention of automated decision-making.,NO,The policy does not mention the use of cookies.,NO,There is no explanation on how to manage cookies.,NO,The policy does not state whether third-party cookies are used.,YES,The language used is clear and understandable.,YES,The policy is easily accessible on the website.,NO,There is no information on data collected from third parties.,success,"The privacy policy lacks essential information required by GDPR, including identification of the data controller, contact details, purposes of processing, legal bases, and user rights.",True
NON_COMPLIANT,0,evz.ro,,Romanian,NO,The policy does not identify the data controller.,NO,There are no contact details provided for the controller.,NO,No Data Protection Officer contact details are mentioned.,NO,The purposes for processing personal data are not stated.,NO,The legal basis for processing is not specified.,NO,There is no description of legitimate interest.,NO,There is no explanation on how to give or withdraw consent.,NO,The data retention period is not specified.,NO,Recipients of personal data are not identified.,NO,There is no mention of international data transfers.,NO,Users are not informed of their right to access personal data.,NO,There is no information on the right to rectification.,NO,The right to erasure is not mentioned.,NO,There is no information on the right to restrict processing.,NO,The right to data portability is not addressed.,NO,Users are not informed of their right to object to processing.,NO,There is no mention of the right to withdraw consent.,NO,Users are not informed of their right to lodge a complaint.,NO,There is no mention of automated decision-making.,NO,The policy does not mention the use of cookies.,NO,There is no explanation on how to manage cookies.,NO,The policy does not state whether third-party cookies are used.,NO,The language used is not clear or intelligible.,NO,The policy is not easily accessible.,NO,There is no information on data collected from third parties.,success,"The privacy policy fails to meet any GDPR requirements, lacking essential information about data processing, user rights, and contact details.",True
PARTIALLY_COMPLIANT,78,eweka.nl,,English,YES,"This Privacy Policy describes how Eweka collects, uses and discloses information.",YES,You may contact us at privacy@eweka.nl or at our mailing address below: Eweka Internet Services B.V.,YES,"To communicate with our Data Protection Officer, please email privacy@eweka.nl.",YES,We may combine the information we collect about you and use this information for the following purposes.,PARTIAL,"Eweka will obtain your prior consent before processing your information for its purposes, unless Eweka is required to processes your personal data to perform its contract with you.",PARTIAL,"Eweka has a legitimate interest to process your information, as described above.",YES,"If you have given your consent to the processing, you have the right to withdraw your consent at any time.",YES,We retain the personal data for as long as necessary for the purpose for which it was obtained.,YES,We may share information about you as follows: With service providers that provide payment processing.,NO,The policy does not mention any international data transfers.,YES,You may request Eweka to confirm if information about you is processed.,YES,You may request Eweka to rectify your information.,YES,You may request Eweka to erase your information.,YES,You may request Eweka to restrict the processing of your information.,YES,You may request Eweka to provide you with an electronic file of your information.,YES,You have the right to object to a processing on grounds relating to your particular situation.,YES,You have the right to withdraw your consent at any time.,YES,"You may direct questions, objections or complaints directly to us.",NO,The policy does not mention any automated decision-making.,YES,"We may use various technologies to collect information in connection with your use of our Services, including Cookies.",YES,"If you prefer, you can usually choose to set your browser to remove or reject browser cookies.",NO,The policy does not state whether third-party cookies are used.,YES,"This Privacy Policy describes how Eweka collects, uses and discloses information.",YES,The policy is presented clearly and is accessible.,NO,The policy does not mention data collected from third parties.,success,The privacy policy covers many essential aspects of GDPR compliance but lacks clarity on international data transfers and third-party data sources.,False
NON_COMPLIANT,20,ewetel.de,,German,NO,The policy does not identify the data controller.,NO,Contact details of the controller are not provided.,NO,There is no mention of a Data Protection Officer.,PARTIAL,The purposes for processing personal data are not clearly stated.,NO,The legal basis for processing personal data is not specified.,NO,There is no description of legitimate interest.,NO,There is no explanation on how to give or withdraw consent.,NO,The data retention period is not specified.,NO,Recipients of personal data are not identified.,NO,There is no mention of international data transfers.,NO,Users are not informed of their right to access personal data.,NO,Users are not informed of their right to rectification.,NO,Users are not informed of their right to erasure.,NO,Users are not informed of their right to restrict processing.,NO,Users are not informed of their right to data portability.,NO,Users are not informed of their right to object to processing.,NO,There is no information on the right to withdraw consent.,NO,Users are not informed of their right to lodge a complaint.,NO,There is no mention of automated decision-making.,NO,The policy does not mention the use of cookies.,NO,There is no explanation on how to manage cookies.,NO,The policy does not state whether third-party cookies are used.,PARTIAL,The language is somewhat clear but lacks detail.,YES,The policy is easily accessible on the website.,NO,There is no information on data collected from third parties.,success,"The privacy policy lacks essential information required by GDPR, including identification of the data controller, contact details, legal bases for processing, and user rights.",True
NON_COMPLIANT,0,eworm.de,,English,NO,The policy does not identify the data controller.,NO,There are no contact details provided for the controller.,NO,No mention of a Data Protection Officer or their contact details.,NO,The policy does not state the purposes for which personal data is processed.,NO,There is no specification of the legal basis for processing personal data.,NO,No legitimate interest is described in the policy.,NO,There is no explanation on how users can give or withdraw consent.,NO,The policy does not specify any data retention period.,NO,There is no identification of recipients or categories of recipients.,NO,No mention of international data transfers or safeguards.,NO,Users are not informed of their right to access personal data.,NO,There is no information on the right to rectification.,NO,The policy does not inform users of their right to erasure.,NO,There is no mention of the right to restrict processing.,NO,Users are not informed of their right to data portability.,NO,There is no information on the right to object to processing.,NO,The policy does not inform users of their right to withdraw consent.,NO,Users are not informed of their right to lodge a complaint.,NO,There is no mention of automated decision-making.,NO,The policy does not mention the use of cookies.,NO,There is no explanation on how to manage or disable cookies.,NO,The policy does not state whether third-party cookies are used.,YES,The language used is clear and understandable.,YES,The policy is easily accessible as it is presented on the website.,NO,There is no information on data collected from third parties.,success,"The privacy policy fails to meet the majority of GDPR requirements, lacking essential information about data processing, user rights, and contact details.",False
PARTIALLY_COMPLIANT,83,eworx.gr,,English,YES,The controller of your personal data is: EWORX S.A.,YES,"Agias Varvaras 40, Chalandri 15231, Greece",NO,The policy does not mention a Data Protection Officer (DPO).,YES,We use your personal data to provide and manage our services.,YES,"We process your personal data based on the following legal grounds: Performance of the Contract, Legal Obligation, Legitimate Interests, Consent.",PARTIAL,"We may process your data when it is necessary for our legitimate business interests, as outlined in this policy.",YES,You can withdraw consent at any time by contacting dpo@eworx.gr.,YES,Retention periods vary based on the type of data and its processing purpose.,YES,We may share your personal data in the following circumstances: Legal Compliance and Protection.,YES,We apply appropriate safeguards in compliance with GDPR when transferring personal data outside the EU.,YES,You have the following rights: Right to Access.,YES,Right to Rectification: Request correction of any inaccurate or incomplete data.,YES,Right to Erasure: Request the deletion of your personal data at any time.,YES,Right to Restrict Processing: Request that your data be archived and not processed further.,YES,Right to Data Portability: Request a copy of your personal data in a machine-readable format.,YES,Right to Object: Object to data processing based on legitimate interests.,YES,You can withdraw consent at any time by contacting dpo@eworx.gr.,YES,You can file a complaint with the Hellenic Data Protection Authority.,NO,The policy does not mention automated decision-making.,YES,We use 'cookies' for web session management and authentication.,PARTIAL,"We may collect some data on your browsing experience, such as your IP address, browser type.",NO,The policy does not explicitly state whether third-party cookies are used.,YES,"The policy is presented in clear, plain, and intelligible language.",YES,The policy is easily accessible on the website.,NO,The policy does not provide information about data collected from third parties.,success,The privacy policy covers many essential aspects of GDPR compliance but lacks details on the Data Protection Officer and third-party data sources.,False
PARTIALLY_COMPLIANT,75,exactaudiocopy.de,,German,YES,The party responsible for processing data on this website is: Andre Wiethoff.,YES,The operator's contact details can be found in the website's required legal notice.,NO,The policy does not mention a Data Protection Officer.,YES,This privacy policy explains what information we collect and what we use it for.,YES,"The basis for data processing is Art. 6 (1) (b) DSGVO, which allows the processing of data to fulfill a contract.",YES,The website operator has a legitimate interest in analyzing user behavior to optimize both its website and its advertising.,YES,You may revoke your consent at any time with future effect.,PARTIAL,Collected customer data shall be deleted after completion of the order or termination of the business relationship.,YES,We transmit personally identifiable data to third parties only to the extent required to fulfill the terms of your contract.,NO,The policy does not mention any international data transfers.,YES,You always have the right to request information about your stored data.,YES,You also have the right to request that it be corrected.,YES,You also have the right to have this data deleted.,YES,You also have the right to restrict processing.,NO,The policy does not mention the right to data portability.,NO,The policy does not mention the right to object to processing.,YES,You may revoke your consent at any time with future effect.,YES,The person affected may file a complaint with the competent regulatory authorities.,NO,The policy does not mention automated decision-making.,YES,Some of our web pages use cookies.,YES,You can configure your browser to inform you about the use of cookies.,YES,"Google AdSense uses so-called 'cookies', which are text files stored in your computer.",YES,The policy is presented in clear language explaining data protection.,YES,The privacy policy can be found below on the website.,NO,The policy does not mention data collected from third parties.,success,"The privacy policy covers many essential aspects of GDPR compliance but lacks details on the Data Protection Officer, international data transfers, and certain user rights.",True
PARTIALLY_COMPLIANT,90,exactonline.be,,English,YES,Exact is the controller and responsible for your Personal Data referred to in this Privacy Statement.,YES,"Exact Group B.V., a company registered in The Netherlands with registered number 27225828 whose registered office is at Molengraaffsingel 33, 2629 JD Delft, The Netherlands.",YES,Exact has appointed a Data Protection Officer as your point of contact for any inquiries or concerns regarding our personal data policies or practices.,YES,"This Privacy Statement describes the information Exact may collect on this Website, how the information is used.",YES,We determine the relevant legal basis based on the purposes for which We have collected your Personal Data.,YES,We may process Personal Data where necessary for the protection of Exact's legitimate business interests and legal rights.,YES,You have the right to withdraw this consent.,YES,Personal Data you provided will only be retained for as long as required for the purposes for which it was collected or as required by law.,YES,We may disclose your Personal Data to other Exact companies for the purpose of performing tasks that directly relate to the operating of the Website.,YES,Where Personal Data is transferred outside the EEA We will make sure your data is protected to the same extent as in the EEA.,YES,You have the right to request access to your Personal Data.,YES,You have the right to correct your Personal Data.,YES,You have the right to erase your Personal Data.,YES,You have the right to restrict processing.,YES,You have the right to data portability.,YES,You have the right to object to certain processing activities.,YES,You have the right to withdraw this consent.,YES,You always have the right to lodge a complaint at any time with your local Data Protection Authority.,YES,"We may use automated decision-making, including profiling, to personalize your experience.",YES,Based on your consent We place cookies and use similar technologies.,PARTIAL,The policy does not explicitly explain how users can manage or disable cookies.,PARTIAL,The policy does not clearly state whether third-party cookies are used.,YES,"The policy is presented in clear, plain, and intelligible language.",YES,The policy is easily accessible in the footer.,NO,The policy does not provide information about collecting data from third parties.,success,"The privacy policy is mostly compliant with GDPR requirements, but lacks clarity on cookie management and third-party data sources.",False
PARTIALLY_COMPLIANT,90,exactonline.nl,,English,YES,Exact is the controller and responsible for your Personal Data referred to in this Privacy Statement.,YES,"Exact Group B.V., a company registered in The Netherlands with registered number 27225828 whose registered office is at Molengraaffsingel 33, 2629 JD Delft, The Netherlands.",YES,Exact has appointed a Data Protection Officer as your point of contact for any inquiries or concerns regarding our personal data policies or practices.,YES,"This Privacy Statement describes the information Exact may collect on this Website, how the information is used.",YES,We determine the relevant legal basis based on the purposes for which We have collected your Personal Data.,YES,We may process Personal Data where necessary for the protection of Exact's legitimate business interests and legal rights.,YES,You have the right to withdraw this consent.,YES,Personal Data you provided will only be retained for as long as required for the purposes for which it was collected or as required by law.,YES,We may disclose your Personal Data to other Exact companies for the purpose of performing tasks that directly relate to the operating of the Website.,YES,Where Personal Data is transferred outside the EEA We will make sure your data is protected to the same extent as in the EEA.,YES,You have the right to request access to your Personal Data.,YES,You have the right to correct your Personal Data.,YES,You have the right to erase your Personal Data.,YES,You have the right to restrict processing.,YES,You have the right to data portability.,YES,You have the right to object to certain processing activities.,YES,You have the right to withdraw this consent.,YES,You always have the right to lodge a complaint at any time with your local Data Protection Authority.,YES,"We may use automated decision-making, including profiling, to personalize your experience.",YES,Based on your consent We place cookies and use similar technologies.,PARTIAL,The policy does not explicitly explain how users can manage or disable cookies.,PARTIAL,The policy does not clearly state whether third-party cookies are used.,YES,"The policy is presented in clear, plain, and intelligible language.",YES,The policy is easily accessible.,NO,The policy does not provide information about data collected from third parties.,success,"The privacy policy is mostly compliant with GDPR requirements, but lacks clarity on third-party cookies and data sourced from third parties.",False
NON_COMPLIANT,30,examenblad.nl,,Dutch,YES,Examenblad.nl is onderdeel van het College voor Toetsen en Examens (CvTE).,NO,The policy does not provide specific contact details for the controller.,NO,There is no mention of a Data Protection Officer or their contact details.,YES,Het CvTE gebruikt persoonsgegevens die je opgeeft alleen voor het doel waarvoor je ze hebt achtergelaten.,PARTIAL,The policy mentions compliance with privacy legislation but does not specify the legal basis for each processing purpose.,NO,There is no description of legitimate interest.,NO,The policy does not explain how users can give and withdraw consent.,YES,De Rijksoverheid bewaart persoonsgegevens niet langer dan nodig is voor het doel waarvoor je ze hebt achtergelaten.,NO,The policy does not identify recipients or categories of recipients.,NO,There is no mention of international data transfers.,NO,The policy does not inform users of their right to access their personal data.,NO,There is no information about the right to rectification.,NO,The policy does not inform users of their right to erasure.,NO,There is no mention of the right to restrict processing.,NO,The policy does not inform users of their right to data portability.,NO,There is no information about the right to object to processing.,NO,The policy does not inform users of their right to withdraw consent.,NO,There is no mention of the right to lodge a complaint with a supervisory authority.,NO,The policy does not mention automated decision-making.,NO,There is no mention of cookies or similar tracking technologies.,NO,The policy does not explain how users can manage or disable cookies.,NO,There is no mention of third-party cookies.,YES,The language used is clear and understandable.,YES,The policy is easily accessible on the website.,NO,The policy does not mention data collected from third parties.,success,"The privacy policy lacks essential information regarding user rights, contact details, and data processing specifics, resulting in a low compliance score.",True
NON_COMPLIANT,0,examiner.ie,,English,NO,The policy does not identify the data controller.,NO,There are no contact details provided for the controller.,NO,No Data Protection Officer contact details are mentioned.,NO,The policy does not state the purposes for which personal data is processed.,NO,There is no specification of the legal basis for processing personal data.,NO,No legitimate interest is described.,NO,There is no explanation on how users can give and withdraw consent.,NO,The policy does not specify the data retention period.,NO,There are no recipients or categories of recipients identified.,NO,The policy does not mention international data transfers.,NO,Users are not informed of their right to access personal data.,NO,There is no information about the right to rectification.,NO,The right to erasure is not mentioned.,NO,Users are not informed of their right to restrict processing.,NO,The right to data portability is not addressed.,NO,There is no information on the right to object to processing.,NO,The right to withdraw consent is not mentioned.,NO,Users are not informed of their right to lodge a complaint.,NO,There is no mention of automated decision-making.,NO,The policy does not mention the use of cookies.,NO,There is no explanation on how to manage or disable cookies.,NO,The policy does not state whether third-party cookies are used.,YES,The language used is clear and intelligible.,YES,The policy is easily accessible on the website.,NO,There is no information on data collected from third parties.,success,"The privacy policy lacks essential elements required by GDPR, resulting in a non-compliant status.",False
PARTIALLY_COMPLIANT,70,exatel.pl,,Polish,YES,The data controller is EXATEL S.A. with its seat in Warsaw.,YES,Contact details include the address and email of the data controller.,YES,The DPO's contact details are provided as Grzegorz Świszcz.,YES,The policy states that personal data is processed for communication and sending messages.,PARTIAL,The policy mentions consent but does not specify legal bases for all processing purposes.,NO,There is no mention of legitimate interest as a legal basis.,YES,It explains how users can withdraw consent at any time.,NO,The policy does not specify a data retention period.,PARTIAL,It states that user data is not disclosed to third parties unless consent is granted.,NO,There is no mention of international data transfers.,YES,Users are informed of their right to access their personal data.,YES,The policy informs users of their right to rectify inaccurate data.,YES,Users are informed of their right to erasure.,YES,The policy informs users of their right to restrict processing.,NO,There is no mention of the right to data portability.,YES,Users are informed of their right to object to processing.,YES,It states that users can withdraw consent at any time.,YES,Users are informed of their right to lodge a complaint with a supervisory authority.,YES,The policy mentions profiling and its purpose.,YES,The policy mentions the use of cookies.,YES,It explains how users can manage or disable cookies.,YES,The policy states that third-party cookies are used.,PARTIAL,The language is mostly clear but could be simplified further.,YES,The policy is easily accessible via a link in the footer.,NO,There is no mention of collecting data from third parties.,success,"The privacy policy covers many essential aspects of GDPR compliance but lacks clarity on legal bases for processing and data retention periods, resulting in a partially compliant status.",True
PARTIALLY_COMPLIANT,70,exception.nl,,Dutch,YES,Exception B.V. is identified as the data controller.,YES,Contact details include the address and email.,NO,There is no mention of a Data Protection Officer.,YES,The policy states the purposes for which personal data is processed.,PARTIAL,The legal basis for processing is not explicitly detailed for each purpose.,NO,There is no mention of legitimate interest as a basis for processing.,YES,It explains how users can withdraw consent.,YES,The policy specifies that data will not be retained longer than necessary.,PARTIAL,It mentions that data will not be shared with unrelated parties but does not specify categories.,NO,There is no mention of international data transfers.,YES,Users are informed of their right to access their personal data.,YES,The right to rectification is mentioned.,YES,The right to erasure is clearly stated.,YES,The right to restrict processing is mentioned.,NO,The right to data portability is not mentioned.,YES,The right to object to processing is included.,YES,It informs users of their right to withdraw consent.,YES,Users are informed of their right to lodge a complaint.,NO,There is no mention of automated decision-making.,YES,The policy mentions the use of cookies.,YES,It explains how users can manage or disable cookies.,PARTIAL,It mentions Google Analytics but does not specify all third-party cookies.,YES,The language used is clear and understandable.,YES,The policy is easily accessible on the website.,NO,There is no mention of collecting data from third parties.,success,The privacy policy covers many essential aspects of GDPR compliance but lacks clarity on legal bases for processing and does not mention a Data Protection Officer or third-party data sources.,True
PARTIALLY_COMPLIANT,70,exedo.nl,,Dutch,YES,Exedo B.V. is identified as the responsible party for processing personal data.,YES,"Contact details including address, email, and phone number are provided.",NO,There is no mention of a Data Protection Officer (DPO) or their contact details.,YES,The policy clearly states the purposes for processing personal data.,PARTIAL,"While it mentions processing based on consent and contract, it does not specify the legal basis for each purpose.",NO,There is no mention of legitimate interest as a legal basis.,NO,The policy does not explain how users can give and withdraw consent.,YES,It specifies that personal data will not be retained longer than necessary.,YES,The policy identifies that personal data may be shared with third parties for contractual purposes.,NO,There is no mention of data transfers outside the EU or the safeguards used.,YES,Users are informed of their right to access their personal data.,YES,The policy informs users of their right to rectify inaccurate data.,YES,Users are informed of their right to erasure of their personal data.,YES,The policy informs users of their right to restrict processing.,YES,Users are informed of their right to data portability.,YES,The policy informs users of their right to object to processing.,NO,There is no mention of the right to withdraw consent at any time.,YES,Users are informed of their right to lodge a complaint with a supervisory authority.,NO,There is no mention of automated decision-making or profiling.,YES,The policy mentions the use of functional and analytical cookies.,YES,It explains that consent is required for cookie usage.,NO,The policy does not state whether third-party cookies are used.,YES,The policy is presented in clear and intelligible language.,YES,The policy is easily accessible on the website.,NO,There is no mention of data collected from third parties.,success,"The privacy policy demonstrates a good understanding of GDPR principles but lacks clarity on certain legal bases and the role of a Data Protection Officer, leading to a partially compliant status.",True
